"Dataset_ID","Project","Event_LegacyPollen 1.0","Event","Event_Neotoma","Neotoma_DOI","Neotoma_comment","Data_Source","Site_ID","Site_Name","Site_Name_Clean","Latitude","Longitude","Elevation","Continent","Basin_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8","Basin_Area","Basin_Source","Basin_Comment"
203,"LegacyPollen_1.0","ANDERSON","ANDERSON","ANDERSON","10.21233/n30302","","Neotoma (last access: 1 April 2021)",203,"Anderson Pond","Anderson Pond",36.03,-85.5,303,"Eastern North America","Lake","Raw",60,"AWI",10,-42,30146,511.7,30188,NA,"1976-01-01 00:00:00","Delcourt, H.R., 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs, 49(3), pp.255-280.","https://doi.org/10.2307/1942485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.33,"GIS","l, GE, L2,"
204,"LegacyPollen_1.0","ANDREE","ANDREE","ANDREE","10.21233/n3fd53","","Neotoma (last access: 1 April 2021)",204,"Andree Bog","Andree Bog",45.725,-93.25,300,"Eastern North America","Peat","Raw",20,"AWI",4,9575,13447,203.8,3872,"Shallow irregular peat deposit. Physiography: gently rolling ground moraine. Surrounding vegetation: sedge meadow and shrub-carr.",NA,"Cushing, E.J., 1967. Late-Wisconsin pollen stratigraphy and the glacial sequence in Minnesota. In: Quaternary paleoecology ed. by E.J. Cushing and H.E. Wright Jr (pp.59-88). Yale University Press, New Haven, Connecticut, USA.",NA,"Cushing, E.J., 1963. Late-Wisconsin pollen stratigraphy in east-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,"Cushing, E.J., 1964. Redeposited pollen in Late Wisconsin pollen spectra from east-central Minnesota. American Journal of Science, 262(9), pp.1075-1088.","https://doi.org/10.2475/ajs.262.9.1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2589000,"FIXED_100",NA
205,"LegacyPollen_1.0","ANDRUSC2","ANDRUSC2","ANDRUSC2","10.21233/n39q4k","","Neotoma (last access: 1 April 2021)",205,"Andrus Lake","Andrus Lake",46.70169,-85.039,190,"Eastern North America","Lake","Raw",13,"AWI",26,-34.2,156.5,15.9,190.8,"Seepage lake. Physiography: flat sandy glacial lake bottom. Surrounding vegetation: Pinus/Betula/Quercus/Acer.","1984-02-15 00:00:00","Charles, D.F. and Whitehead, D.R., 1984. Paleoecological Investigation of Recent Lake Acidification (PIRLA): December 1984 Status Report. RP 2174-10, Electric Power Research Institute, Palo Alto, CA.",NA,"Charles, D.F. and Whitehead, D.R., 1986. Paleoecological Investigation of Recent Lake Acidification (PIRLA): Methods and Project Description. EPRI EA-4906, Electric Power Research Institute, Palo Alto, CA.",NA,"Shane, L.C., 1987. Northern Great Lakes States pollen and charcoal data. PIRLA Unpublished Report Series 9, Indiana University, Bloomington, IN.",NA,"Kingston, J.C., Cook, R.B., Kreis, R.G., Camburn, K.E., Norton, S.A., Sweets, P.R., Binford, M.W., Mitchell, M.J., Schindler, S.C., Shane, L.C.K. and King, G.A., 1990. Paleoecological investigation of recent lake acidification in the northern Great Lakes states. Journal of Paleolimnology, 4(2), pp.153-201.","https://doi.org/10.1007/BF00226322","Charles, D.F. and Whitehead, D.R., 1987. The PIRLA project: paleoecological investigations of recent lake acidification. Hydrobiologia, 143, pp.13-20.","https://doi.org/10.1007/BF00026639",NA,NA,NA,NA,NA,NA,132905,"GIS","l, GE, L2,"
206,"LegacyPollen_1.0","ANDYLAKE","ANDYLAKE","ANDYLAKE","10.21233/n35x18","","Neotoma (last access: 1 April 2021)",206,"Andy Lake","Andy Lake",64.64,-128.08,1360,"Western North America","Lake","Raw",57,"AWI",4,-66,13049,234.2,13115,"Lake dammed by a Mountain River moraine. Physiography: Mackenzie Mountains. Surrounding vegetation: shrub tundra.","1990-04-01 00:00:00","Szeicz, J.M., MacDonald, G.M. and Duk-Rodkin, A., 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2-4), pp.351-371.","https://doi.org/10.1016/0031-0182(95)00070-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479644.3,"GIS","l, LW, L2,"
208,"LegacyPollen_1.0","ANGAL","ANGAL","ANGAL","10.21233/n3bc8z","","Neotoma (last access: 1 April 2021)",207,"Angal Lake","Angal Lake",67.13,-153.9,820,"Western North America","Lake","Raw",37,"AWI",3,-51,17051,475.1,17102,"Cirque lake. Physiography: mountainous. Surrounding vegetation: Betula shrub tundra.","1979-08-01 00:00:00","Brubaker, L.B., Garfinkee, H.L. and Edwards, M.E., 1983. A late Wisconsin and Holocene vegetation history from the central Brooks Range: implications for Alaskan palaeoecology. Quaternary Research, 20(2), pp.194-214.","https://doi.org/10.1016/0033-5894(83)90077-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31838.04,"GIS","l, GE, L2,"
209,"LegacyPollen_1.0","ANGE","ANGE","ANGE","10.21233/n36k61","","Neotoma (last access: 1 April 2021)",208,"Lac à l'Ange","Lac a l'Ange",47.48,-70.68,648,"Eastern North America","Lake","Raw",57,"AWI",8,-59,15915,285.2,15974,"Rock basin with steep sides. Physiography: rugged mountainous morainic area. Surrounding vegetation: Betulo papyriferae - Abietetum.","1977-01-01 00:00:00","Labelle, C. and Richard, P.J.H., 1981. Vegetation tardiglaciaire et postglaciaire au sud-est du parc des Laurentides, Quebec. Geographie physique et Quaternaire, 35(3), pp.345-359 (in French).","https://doi.org/10.7202/1000544ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53127.09,"GIS","l, GE, L2,"
214,"LegacyPollen_1.0","ARRINGTO","ARRINGTO","ARRINGTO","10.21233/612s-t274","","Neotoma (last access: 1 April 2021)",213,"Arrington Marsh","Arrington Marsh",39.495,-95.5267,280,"Eastern North America","Peat","Raw",26,"AWI",2,19368,29163,391.8,9795,"Spring marsh along edge of floodplain. Physiography: floodplain edge of the Delaware River.",NA,"Gruger, J., 1973. Studies on the late Quaternary vegetation history of northeastern Kansas. Geological Society of America Bulletin, 84(1), pp.239-250.","https://doi.org/10.1130/0016-7606(1973)84<239:SOTLQV>2.0.CO;2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
215,"LegacyPollen_1.0","ARTSLOUG","ARTSLOUG","ARTSLOUG","10.21233/n34x3q","","Neotoma (last access: 1 April 2021)",214,"Arts Lough","Arts Lough",52.95,-6.43333,490,"Europe","Peat","Raw",30,"AWI",6,647,12245,399.9,11598,"Eroding blanket peat. Physiography: Steep cliffs to south rising to 800m. Surrounding vegetation: Heathland vegetation.",NA,"Bradshaw, R.H.W. and McGee, E., 1988. The extent and time-course of mountain blanket peat erosion in Ireland. New Phytologist, 108(2), pp.219-224.","https://doi.org/10.1111/j.1469-8137.1988.tb03699.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222391.795931577,"FIXED_100",NA
219,"LegacyPollen_1.0","ATO","ATO","ATO","10.21233/n31w22","","Neotoma (last access: 1 April 2021)",217,"Lac des Atocas","Lac des Atocas",45.54,-73.31,114,"Eastern North America","Lake","Raw",46,"AWI",4,-59,14076,314.1,14135,"Rock basin lake with marginal bog. Physiography: Hilly moraine. Surrounding vegetation: Caryo - Aceretum sacchari.","1979-06-08 00:00:00","Gauthier, R., 1981. Histoire de la colonisation vegetale postglaciaire des Monteregiennes: deux sites du mont Saint-Bruno. Master's thesis. Universite de Montreal, Montreal, Quebec, Canada (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5557.031,"GIS","l, GE, L2,"
221,"LegacyPollen_1.0","AXELAKE","AXELAKE","AXELAKE","10.21233/n3h68s","","Neotoma (last access: 1 April 2021)",219,"Axe Lake","Axe Lake",45.39,-79.5,323,"Eastern North America","Lake","Raw",37,"AWI",3,-16,11380,316.6,11396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2442731,"GIS","l, LW, L2,"
224,"LegacyPollen_1.0","BAIRDIN","BAIRDIN","BAIRDIN","10.21233/n3410m","","Neotoma (last access: 1 April 2021)",222,"Baird Inlet [Rock Basin Lake]","Baird Inlet [Rock Basin Lake]",78.49167,-76.78,295,"Eastern North America","Lake","Raw",23,"AWI",3,-28,11543.5,526,11571.5,"Closed steep sided ice excavated basin. Physiography: granulite gneiss massif, valley glaciers. Surrounding vegetation: Empetrum/Vaccinium heath, mossy heaths.","1979-01-01 00:00:00","Hyvarinen, H., 1985. Holocene pollen stratigraphy of Baird Inlet, east-central Ellesmere Island, arctic Canada. Boreas, 14(1), pp.19-32.","https://doi.org/10.1111/j.1502-3885.1985.tb00884.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"can't find a basin"
225,"LegacyPollen_1.0","BALLIN","BALLIN","BALLIN","10.21233/n30684","","Neotoma (last access: 1 April 2021)",223,"Ballinloghig Lake","Ballinloghig Lake",52.19,-10.31,84,"Europe","Lake","Raw",68,"AWI",12,1425,17609,241.6,16184,"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.",NA,"Barnosky, C.W., 1988. A late-glacial and post-glacial pollen record from the Dingle Peninsula, County Kerry. Proceedings of the Royal Irish Academy, 88(B), pp.23-37.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8966.372,"GIS","l, GE, L2,"
226,"LegacyPollen_1.0","BALLYBET","BALLYBET","BALLYBET","10.21233/n38c8b","","Neotoma (last access: 1 April 2021)",224,"Ballybetagh","Ballybetagh",53.16667,-6.25,250,"Europe","Peat","Raw",36,"AWI",6,11115,15708,131.2,4593,"Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.",NA,"Cwynar, L.C. and Watts, W.A., 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research, 31(3), pp.377-380.","https://doi.org/10.1016/0033-5894(89)90044-6","Jessen, K. and Farrington, A., 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy, 44B(10), pp.205-260.",NA,"Watts, W.A., 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London. B, Biological Sciences, 280(972), pp.273-293.","https://doi.org/10.1098/rstb.1977.0110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8171.28249198705,"FIXED_100",NA
232,"LegacyPollen_1.0","BARCHAMP","BARCHAMP","BARCHAMP","10.21233/n3bh7z","","Neotoma (last access: 1 April 2021)",229,"Barchampe Lake","Barchampe Lake",30.63,-83.25,34,"Eastern North America","Lake","Raw",64,"AWI",2,-37,8514,135.7,8551,"Sinkhole pond. Physiography: Gulf Coastal Plain, level. Surrounding vegetation: pine/oak forest.","1986-03-20 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161930.6,"GIS","l, GE, L2, modified LW shape"
234,"LegacyPollen_1.0","BARRETT","BARRETT","BARRETT","10.21233/n36q51","","Neotoma (last access: 1 April 2021)",231,"Barrett Lake","Barrett Lake",37.6,-119.01,2816,"Western North America","Lake","Raw",38,"AWI",5,-61,15366,416.9,15427,"Glacial scour lake. Physiography: Sierra Nevada mountains. Surrounding vegetation: lodgepole/limber pine, mountain hemlock.",NA,"Anderson, R.S., 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",NA,"Anderson, R.S., 1990. Holocene forest development and paleoclimates within the central Sierra Nevada, California. Journal of Ecology, 78(2), pp.470-489.","https://doi.org/10.2307/2261125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13669.55,"GIS","l, GE, L2,"
236,"LegacyPollen_1.0","BASEBALL","BASEBALL","BASEBALL","10.21233/n3c59k","","Neotoma (last access: 1 April 2021)",233,"Baseball Bog","Baseball Bog",47.23,-79.78,292,"Eastern North America","Lake","Raw",40,"AWI",2,11,11860,303.8,11849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86643.84,"GIS","l, GE, L2, modified LW shape"
238,"LegacyPollen_1.0","BASTIEN","BASTIEN","BASTIEN","10.21233/n33p4c","","Neotoma (last access: 1 April 2021)",235,"Lac Bastien","Lac Bastien",46.4,-78.9167,305,"Eastern North America","Lake","Raw",67,"AWI",5,-37,10722,163,10759,"Glacial scour lake. Physiography: Canadian Shield. Surrounding vegetation: fir-maple-spruce-birch forest.","1985-01-01 00:00:00","Bennett, K.D., 1987. Holocene history of forest trees in southern Ontario. Canadian Journal of Botany, 65(9), pp.1792-1801.","https://doi.org/10.1139/b87-248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83554.12,"GIS","Chenhzi: publication. Lake shapes: ? check in gis or take average of few lakes closeby. It is definitely a lake."
239,"LegacyPollen_1.0","BATLGRND","BATLGRND","BATLGRND","10.21233/n3002s","","Neotoma (last access: 1 April 2021)",236,"Battle Ground Lake","Battle Ground Lake",45.8,-122.49,155,"Western North America","Lake","Raw",105,"AWI",15,-40,24274,233.8,24314,"Volcanic crater. Physiography: Puget Trough. Surrounding vegetation: second-growth Pseudotsuga/decid forest.","1980-10-01 00:00:00","Barnosky, C.W., 1983. Late-Quaternary vegetational and climatic history of southwestern Washington. Doctoral dissertation. University of Washington, Seattle, Washingtion, USA.",NA,"Barnosky, C.W., 1985. Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington. Geological Society of America Bulletin, 96(2), pp.263-271.","https://doi.org/10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2","Whitlock, C., 1992. Vegetational and climatic history of the Pacific Northwest during the last 20,000 years: implications for understanding present-day biodiversity. Northwest Environmental Journal, 8, pp.5-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107929.8,"GIS","l, GE, L2,"
240,"LegacyPollen_1.0","BATTAGLI","BATTAGLI","BATTAGLI","10.21233/n3f986","","Neotoma (last access: 1 April 2021)",237,"Battaglia Bog","Battaglia Bog",41.14389,-81.3286,335,"Eastern North America","Peat","Raw",14,"AWI",3,11707,20212,654.2,8505,"Small fen in interlobate area. Physiography: Allegheny Plateau. Surrounding vegetation: agriculturally disturbed.","1973-01-01 00:00:00","Shane, L.C., 1975. Palynology and Radiocaron Chronology of Battaglia Bog, Portage County, Ohio. The Ohio Journal of Science, 75(2), pp.96-102.",NA,"Shane, L.C., 1987. Late-glacial vegetational and climatic history of the Allegheny Plateau and the Till Plains of Ohio and Indiana, USA. Boreas, 16(1), pp.1-20.","https://doi.org/10.1111/j.1502-3885.1987.tb00750.x","Shane, L.C. and Anderson, K.H., 1993. Intensity, gradients and reversals in late glacial environmental change in east-central North America. Quaternary Science Reviews, 12(5), pp.307-320.","https://doi.org/10.1016/0277-3791(93)90039-O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
245,"LegacyPollen_1.0","BEARBOG","BEARBOG","BEARBOG","10.21233/n36g60","","Neotoma (last access: 1 April 2021)",242,"Bear Bog","Bear Bog",47.18,-80.16,304,"Eastern North America","Peat","Raw",27,"AWI",3,4131,11136,269.4,7005,"Bog.","1991-01-01 00:00:00","Gordon, D.L. and McAndrews, J.H., 1992. Field testing a model of paleohydrology for prehistoric site prediction at Lake Temagami, northeastern Ontario. Annual Archaeological Report, Ontario, 3, pp.80-86.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
250,"LegacyPollen_1.0","BEEFPAST","BEEFPAST","BEEFPAST","10.21233/n34t3p","","Neotoma (last access: 1 April 2021)",246,"Beef Pasture","Beef Pasture",37.47311,-108.16,3060,"Western North America","Peat","Raw",91,"AWI",10,-24,6033,67.3,6057,"Open wet meadow and fen occupying a depression formed by a landslide ~5000 BP in the La Plata Mountains. Local upland vegetation dominated by Picea engelmannii, Pseudotsuga menziesii, Populus tremuloides, and Alnus tenuifolia. Salix brachycarpa lines the edges of the wet meadow.","1973-08-17 00:00:00","Petersen, K.L., 1988. Climate and the Dolores River Anasazi: a paleoenvironmental reconstruction from a 10,000-year pollen record, La Plata Mountains, Southwestern Colorado. University of Utah, Anthropological Papers 113. University of Utah Pres, Salt Lake City, Utah, USA.",NA,"Petersen, K.L., 1985. Palynology in Montezuma County, southwestern Colorado: the local history of the Pinyon Pine (Pinus edulis). In: Late Quaternary Vegetation and Climates in the American Southwest. Contribution Series 16. ed. by B.F. Jacobs, P.L. Fall, and O.K. Davis (pp.47-62). American Association of Stratigraphic Palynologists, Dallas, Texas, USA.",NA,"Petersen, K.L., 1994. A warm and wet Little Climatic Optimum and a cold and dry Little Ice Age in the southern Rocky Mountains, USA. Climatic Change, 26(2), pp.243-269.","https://doi.org/10.1007/BF01092417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
253,"LegacyPollen_1.0","BELLS","BELLS","BELLS","10.21233/n35g6p","","Neotoma (last access: 1 April 2021)",248,"Bell's Lake","Bell's Lake",65.01667,-127.483,580,"Western North America","Lake","Raw",53,"AWI",5,-57,12638,244.1,12695,"Ground moraine depression. Physiography: Mackenzie Mountains. Surrounding vegetation: open Picea muskeg and forest.","1990-04-01 00:00:00","Szeicz, J.M., MacDonald, G.M. and Duk-Rodkin, A., 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2-4), pp.351-371.","https://doi.org/10.1016/0031-0182(95)00070-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78729.32,"GIS","l, GE, L2,"
254,"LegacyPollen_1.0","BELMONT","BELMONT","BELMONT","10.21233/n31s4s","","Neotoma (last access: 1 April 2021)",249,"Belmont Bog","Belmont Bog",65.02,-127.47,497,"Western North America","Peat","Raw",46,"AWI",7,73,19718,436.6,19645,NA,"1973-01-01 00:00:00","Spear, R.W. and Miller, N.G., 1976. A radiocarbon dated pollen diagram from the Allegheny Plateau of New York State. Journal of the Arnold Arboretum, 57(3), pp.369-403.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
